time,WT1.1,WT1.2,WT1.3,WT2.1,WT2.2,WT3.1,WT3.2,WT4.1,WT4.2,WTBrkA1.1,WTBrkA1.2,WTBrkA1.3,WTBrkA2.1,WTBrkA2.2,WTBrkA3.1,WTBrkA3.2,WTBrkA4.1,WTBrkA4.2,Oliver1.1,Oliver1.2,Oliver2.1,Oliver2.2,Oliver3.1,Oliver3.2,OliverBrkA1.1,OliverBrkA1.2,OliverBrkA2.1,OliverBrkA2.2,OliverBrkA3.1,OliverBrkA3.2,Tropini1.1,Tropini1.2,Tropini1.3,Tropini2.1,Tropini2.2,Tropini3.1,Tropini3.2,Tropini4.1,Tropini4.2,TropiniBrkA1.1,TropiniBrkA1.2,TropiniBrkA1.3,TropiniBrkA2.1,TropiniBrkA2.2,TropiniBrkA3.1,TropiniBrkA3.2
0,0.027,0.047,0.031,0.031,0.032,0.032,0.031,0.025,0.025,0.028,0.021,0.032,0.023,0.026,0.032,0.019,0.013,0.016,0.036,0.033,0.066,0.04,0.019,0.021,0.033,0.039,0.013,0.012,0.015,0.013,0.03,0.041,0.027,0.04,0.031,0.046,0.049,0.023,0.022,0.017,0.017,0.016,0.026,0.024,0.017,0.024
10,0.033,0.036,0.036,0.04,0.039,0.041,0.039,0.032,0.033,0.023,0.025,0.021,0.03,0.031,0.026,0.025,0.014,0.018,0.037,0.036,0.036,0.039,0.024,0.025,0.026,0.026,0.017,0.016,0.018,0.016,0.034,0.033,0.032,0.039,0.038,0.034,0.033,0.027,0.027,0.021,0.02,0.019,0.031,0.03,0.02,0.03
20,0.043,0.047,0.047,0.052,0.052,0.054,0.051,0.044,0.046,0.03,0.031,0.028,0.039,0.041,0.033,0.032,0.019,0.023,0.048,0.046,0.043,0.046,0.032,0.033,0.034,0.034,0.021,0.019,0.023,0.021,0.041,0.041,0.04,0.044,0.044,0.04,0.038,0.033,0.032,0.025,0.025,0.024,0.037,0.034,0.025,0.036
30,0.058,0.062,0.062,0.067,0.066,0.066,0.064,0.057,0.059,0.04,0.04,0.036,0.051,0.053,0.042,0.04,0.023,0.027,0.061,0.057,0.054,0.053,0.04,0.043,0.045,0.045,0.026,0.024,0.028,0.027,0.048,0.048,0.046,0.051,0.051,0.044,0.043,0.037,0.036,0.03,0.03,0.028,0.043,0.039,0.03,0.041
40,0.076,0.079,0.079,0.088,0.086,0.084,0.082,0.077,0.078,0.051,0.051,0.047,0.066,0.069,0.053,0.053,0.031,0.034,0.077,0.075,0.069,0.072,0.053,0.055,0.059,0.059,0.032,0.03,0.038,0.035,0.055,0.056,0.053,0.06,0.06,0.051,0.05,0.043,0.043,0.034,0.034,0.033,0.05,0.047,0.034,0.05
50,0.098,0.1,0.101,0.113,0.109,0.106,0.105,0.097,0.099,0.067,0.066,0.063,0.085,0.087,0.068,0.068,0.038,0.043,0.1,0.099,0.079,0.083,0.067,0.067,0.076,0.076,0.041,0.038,0.048,0.045,0.067,0.067,0.064,0.073,0.073,0.062,0.06,0.051,0.051,0.041,0.042,0.04,0.061,0.058,0.042,0.061
60,0.124,0.124,0.125,0.135,0.133,0.129,0.129,0.118,0.121,0.083,0.083,0.079,0.105,0.108,0.085,0.085,0.046,0.05,0.127,0.124,0.102,0.102,0.081,0.081,0.096,0.094,0.052,0.049,0.058,0.055,0.079,0.08,0.076,0.088,0.088,0.076,0.074,0.06,0.061,0.05,0.05,0.048,0.074,0.072,0.05,0.076
70,0.147,0.149,0.149,0.159,0.156,0.152,0.149,0.139,0.14,0.104,0.104,0.1,0.125,0.129,0.105,0.106,0.056,0.06,0.148,0.147,0.124,0.125,0.099,0.098,0.114,0.113,0.065,0.06,0.071,0.068,0.094,0.095,0.092,0.106,0.106,0.091,0.09,0.073,0.07,0.062,0.061,0.06,0.094,0.091,0.061,0.099
80,0.173,0.177,0.176,0.183,0.18,0.174,0.174,0.161,0.163,0.129,0.131,0.126,0.143,0.147,0.127,0.128,0.068,0.073,0.17,0.169,0.145,0.147,0.114,0.115,0.129,0.127,0.08,0.075,0.087,0.083,0.113,0.114,0.11,0.126,0.125,0.11,0.109,0.087,0.086,0.077,0.079,0.073,0.109,0.101,0.079,0.107
90,0.195,0.198,0.196,0.201,0.2,0.193,0.193,0.18,0.184,0.15,0.149,0.144,0.16,0.166,0.144,0.144,0.082,0.086,0.187,0.188,0.159,0.164,0.133,0.135,0.151,0.151,0.095,0.092,0.103,0.1,0.133,0.134,0.127,0.149,0.147,0.127,0.125,0.102,0.101,0.086,0.089,0.087,0.123,0.113,0.089,0.124
100,0.216,0.22,0.22,0.221,0.219,0.213,0.213,0.199,0.203,0.169,0.168,0.162,0.175,0.18,0.165,0.166,0.097,0.101,0.205,0.202,0.178,0.181,0.15,0.15,0.171,0.171,0.103,0.098,0.112,0.11,0.154,0.154,0.146,0.168,0.165,0.145,0.144,0.119,0.118,0.097,0.099,0.099,0.117,0.124,0.099,0.12
110,0.237,0.244,0.246,0.242,0.24,0.238,0.236,0.223,0.225,0.189,0.187,0.181,0.189,0.197,0.182,0.183,0.108,0.114,0.223,0.222,0.197,0.2,0.165,0.17,0.187,0.186,0.118,0.113,0.128,0.124,0.175,0.172,0.164,0.189,0.184,0.164,0.161,0.138,0.135,0.092,0.091,0.099,0.134,0.148,0.091,0.16
120,0.262,0.27,0.274,0.266,0.264,0.261,0.26,0.245,0.249,0.206,0.205,0.197,0.21,0.213,0.197,0.197,0.118,0.124,0.247,0.243,0.216,0.217,0.186,0.189,0.204,0.202,0.137,0.132,0.147,0.142,0.196,0.192,0.181,0.208,0.203,0.183,0.178,0.152,0.15,0.087,0.089,0.08,0.163,0.155,0.087,0.158
130,0.285,0.294,0.303,0.288,0.286,0.281,0.281,0.265,0.269,0.226,0.225,0.223,0.23,0.233,0.216,0.216,0.131,0.138,0.269,0.269,0.237,0.239,0.206,0.212,0.223,0.221,0.155,0.15,0.165,0.161,0.218,0.211,0.2,0.233,0.227,0.203,0.195,0.169,0.167,0.082,0.083,0.076,0.144,0.148,0.082,0.161
140,0.307,0.317,0.332,0.31,0.306,0.302,0.302,0.287,0.29,0.246,0.245,0.236,0.258,0.257,0.24,0.24,0.146,0.156,0.289,0.293,0.257,0.26,0.228,0.237,0.25,0.246,0.17,0.167,0.18,0.177,0.241,0.236,0.223,0.257,0.249,0.226,0.216,0.188,0.183,0.072,0.075,0.071,0.161,0.15,0.072,0.172
150,0.327,0.341,0.358,0.326,0.32,0.32,0.321,0.307,0.31,0.269,0.266,0.257,0.279,0.279,0.266,0.266,0.158,0.168,0.31,0.313,0.278,0.281,0.25,0.261,0.27,0.267,0.188,0.184,0.194,0.191,0.265,0.259,0.244,0.281,0.27,0.248,0.236,0.208,0.203,0.072,0.069,0.06,0.187,0.164,0.072,0.18
160,0.344,0.361,0.38,0.343,0.337,0.337,0.34,0.324,0.327,0.294,0.293,0.282,0.3,0.3,0.287,0.288,0.173,0.182,0.325,0.328,0.294,0.297,0.271,0.282,0.292,0.287,0.199,0.195,0.208,0.204,0.287,0.282,0.266,0.306,0.297,0.268,0.254,0.227,0.222,0.06,0.058,0.049,0.17,0.163,0.06,0.188
170,0.363,0.382,0.397,0.361,0.353,0.369,0.361,0.344,0.346,0.316,0.315,0.306,0.32,0.322,0.311,0.31,0.184,0.194,0.346,0.35,0.313,0.315,0.289,0.304,0.313,0.307,0.217,0.212,0.225,0.222,0.311,0.306,0.289,0.328,0.318,0.291,0.276,0.249,0.24,0.051,0.049,0.048,0.167,0.17,0.051,0.195
180,0.382,0.407,0.418,0.379,0.37,0.39,0.379,0.367,0.366,0.34,0.339,0.328,0.34,0.341,0.334,0.333,0.194,0.205,0.359,0.361,0.333,0.334,0.303,0.326,0.335,0.331,0.236,0.231,0.247,0.243,0.331,0.328,0.311,0.346,0.34,0.31,0.295,0.27,0.259,0.048,0.047,0.046,0.16,0.162,0.048,0.191
