time,W5.1,W5.2,W5.3,W2.5.1,W2.5.2,W2.5.3,W1.1,W1.2,W1.3,W0.5.1,W0.5.2,W0.5.3,W0.25.1,W0.25.2,W0.25.3,W0.1,W0.2,W0.3
0,0.125,0.124,0.124,0.125,0.124,0.124,0.124,0.126,0.126,0.124,0.124,0.125,0.125,0.123,0.128,0.122,0.123,0.124
10,0.144,0.142,0.142,0.143,0.141,0.14,0.141,0.144,0.143,0.141,0.141,0.142,0.142,0.14,0.145,0.138,0.14,0.141
20,0.172,0.171,0.169,0.171,0.169,0.167,0.168,0.172,0.171,0.168,0.169,0.168,0.168,0.167,0.17,0.164,0.167,0.165
30,0.214,0.209,0.207,0.21,0.208,0.203,0.206,0.211,0.205,0.207,0.205,0.199,0.206,0.198,0.201,0.201,0.2,0.204
40,0.265,0.263,0.259,0.26,0.263,0.255,0.26,0.274,0.263,0.262,0.266,0.26,0.262,0.261,0.262,0.252,0.246,0.26
50,0.319,0.323,0.315,0.321,0.33,0.321,0.321,0.338,0.325,0.327,0.323,0.311,0.317,0.326,0.323,0.301,0.305,0.319
60,0.369,0.37,0.368,0.37,0.383,0.375,0.386,0.391,0.389,0.383,0.382,0.369,0.372,0.391,0.388,0.354,0.364,0.379
70,0.418,0.412,0.411,0.418,0.441,0.42,0.438,0.441,0.441,0.448,0.433,0.415,0.42,0.439,0.438,0.404,0.408,0.436
80,0.471,0.456,0.459,0.469,0.491,0.475,0.492,0.49,0.492,0.51,0.485,0.472,0.477,0.494,0.489,0.453,0.459,0.498
90,0.506,0.5,0.493,0.508,0.542,0.512,0.533,0.535,0.536,0.557,0.528,0.514,0.52,0.538,0.539,0.495,0.501,0.546
100,0.545,0.535,0.521,0.541,0.57,0.543,0.568,0.566,0.566,0.597,0.564,0.544,0.551,0.578,0.568,0.524,0.543,0.588
110,0.582,0.573,0.558,0.577,0.602,0.576,0.605,0.601,0.6,0.638,0.6,0.584,0.593,0.617,0.616,0.561,0.586,0.627
120,0.618,0.618,0.594,0.617,0.633,0.611,0.644,0.637,0.636,0.677,0.636,0.618,0.627,0.655,0.654,0.602,0.621,0.665
130,0.658,0.658,0.628,0.667,0.667,0.646,0.684,0.673,0.676,0.719,0.671,0.665,0.666,0.691,0.697,0.649,0.657,0.704
140,0.692,0.696,0.66,0.71,0.701,0.68,0.717,0.711,0.71,0.759,0.707,0.701,0.707,0.734,0.731,0.691,0.702,0.746
150,0.725,0.723,0.692,0.744,0.734,0.719,0.751,0.747,0.743,0.789,0.741,0.734,0.742,0.774,0.765,0.731,0.745,0.782
160,0.761,0.753,0.721,0.773,0.771,0.754,0.782,0.776,0.775,0.822,0.775,0.768,0.778,0.808,0.798,0.773,0.784,0.808
170,0.777,0.777,0.746,0.802,0.797,0.778,0.811,0.813,0.803,0.85,0.811,0.803,0.82,0.845,0.843,0.811,0.817,0.857
180,0.783,0.784,0.768,0.809,0.799,0.792,0.835,0.839,0.831,0.875,0.846,0.831,0.857,0.875,0.864,0.845,0.85,0.887
190,0.774,0.769,0.77,0.817,0.81,0.792,0.85,0.855,0.846,0.896,0.86,0.85,0.874,0.897,0.893,0.872,0.877,0.911
200,0.781,0.761,0.784,0.829,0.817,0.799,0.865,0.876,0.867,0.911,0.873,0.868,0.898,0.917,0.913,0.899,0.905,0.932
210,0.773,0.753,0.794,0.831,0.816,0.803,0.885,0.889,0.883,0.922,0.896,0.893,0.918,0.943,0.938,0.927,0.929,0.958
220,0.76,0.746,0.791,0.842,0.82,0.807,0.906,0.904,0.895,0.942,0.915,0.907,0.943,0.964,0.961,0.954,0.949,0.985
230,0.745,0.741,0.792,0.848,0.83,0.814,0.919,0.919,0.912,0.961,0.931,0.925,0.965,0.988,0.985,0.981,0.983,1.011
240,0.731,0.726,0.796,0.853,0.841,0.815,0.934,0.931,0.921,0.979,0.952,0.94,0.991,1.007,1.003,1,1.006,1.041
250,0.706,0.706,0.792,0.859,0.844,0.824,0.951,0.945,0.939,1,0.972,0.958,1.012,1.028,1.026,1.026,1.031,1.065
260,0.702,0.694,0.784,0.875,0.849,0.823,0.963,0.96,0.959,1.015,0.994,0.978,1.034,1.047,1.046,1.051,1.054,1.089
270,0.665,0.67,0.765,0.891,0.844,0.821,0.974,0.973,0.975,1.03,1.008,0.992,1.06,1.071,1.071,1.067,1.073,1.107
280,0.628,0.658,0.75,0.907,0.843,0.816,0.987,0.99,0.986,1.046,1.024,1.011,1.078,1.084,1.089,1.095,1.097,1.13
290,0.61,0.639,0.729,0.914,0.851,0.819,0.998,1.006,1.002,1.06,1.04,1.027,1.099,1.104,1.11,1.113,1.115,1.151
300,0.597,0.631,0.711,0.93,0.852,0.82,1.009,1.019,1.016,1.075,1.057,1.043,1.114,1.119,1.127,1.13,1.135,1.171
310,0.573,0.609,0.697,0.933,0.856,0.82,1.022,1.033,1.031,1.089,1.071,1.058,1.133,1.134,1.146,1.147,1.153,1.186
320,0.546,0.592,0.679,0.949,0.854,0.822,1.033,1.044,1.044,1.101,1.085,1.073,1.148,1.151,1.159,1.165,1.173,1.204
330,0.51,0.572,0.661,0.953,0.856,0.825,1.043,1.058,1.056,1.114,1.101,1.087,1.165,1.166,1.177,1.185,1.188,1.221
340,0.489,0.552,0.658,0.951,0.856,0.83,1.055,1.07,1.07,1.127,1.115,1.102,1.18,1.181,1.189,1.203,1.204,1.24
350,0.477,0.533,0.646,0.932,0.853,0.834,1.065,1.082,1.081,1.138,1.127,1.113,1.193,1.194,1.203,1.219,1.226,1.256
360,0.465,0.52,0.624,0.986,0.87,0.833,1.077,1.093,1.092,1.151,1.138,1.127,1.209,1.205,1.22,1.237,1.243,1.275
370,0.444,0.506,0.609,0.986,0.882,0.834,1.087,1.104,1.105,1.16,1.148,1.138,1.219,1.216,1.235,1.248,1.257,1.286
380,0.428,0.5,0.602,0.987,0.902,0.838,1.097,1.115,1.117,1.171,1.157,1.148,1.23,1.231,1.244,1.261,1.273,1.301
390,0.416,0.493,0.593,1.054,0.909,0.842,1.107,1.123,1.127,1.183,1.169,1.161,1.244,1.242,1.257,1.273,1.282,1.32
400,0.408,0.491,0.584,1.116,0.939,0.849,1.114,1.133,1.137,1.196,1.179,1.171,1.253,1.254,1.27,1.285,1.294,1.336
410,0.407,0.494,0.578,1.177,1.018,0.86,1.123,1.141,1.146,1.202,1.189,1.179,1.262,1.266,1.28,1.294,1.307,1.351
420,0.4,0.492,0.572,1.175,1.139,0.859,1.129,1.15,1.155,1.209,1.198,1.19,1.273,1.276,1.29,1.306,1.318,1.362
430,0.396,0.489,0.568,1.328,0.97,0.901,1.138,1.156,1.165,1.219,1.207,1.198,1.279,1.284,1.302,1.313,1.326,1.369
440,0.387,0.492,0.563,1.03,1.078,0.885,1.144,1.165,1.174,1.223,1.214,1.209,1.288,1.293,1.313,1.321,1.336,1.379
450,0.38,0.493,0.558,1.015,0.953,0.916,1.153,1.173,1.183,1.231,1.221,1.216,1.296,1.301,1.321,1.329,1.349,1.392
460,0.374,0.494,0.56,0.934,0.962,0.952,1.157,1.178,1.189,1.239,1.228,1.225,1.304,1.311,1.333,1.338,1.357,1.401
470,0.366,0.495,0.555,0.918,0.93,1.006,1.164,1.184,1.194,1.243,1.233,1.232,1.31,1.314,1.343,1.343,1.364,1.413
480,0.363,0.499,0.557,0.905,0.916,1.076,1.172,1.192,1.204,1.251,1.24,1.24,1.315,1.319,1.353,1.352,1.373,1.417
490,0.366,0.501,0.555,0.965,1.086,1.089,1.176,1.197,1.21,1.255,1.248,1.247,1.318,1.324,1.361,1.357,1.382,1.426
500,0.363,0.51,0.555,0.964,1.115,1.119,1.183,1.204,1.217,1.26,1.255,1.254,1.325,1.335,1.369,1.362,1.389,1.439
510,0.361,0.518,0.55,0.974,1.16,1.332,1.189,1.208,1.222,1.264,1.26,1.26,1.331,1.343,1.375,1.367,1.395,1.444
520,0.36,0.518,0.545,0.977,1.148,1.159,1.194,1.214,1.23,1.264,1.265,1.265,1.336,1.351,1.381,1.367,1.4,1.447
530,0.356,0.515,0.544,0.978,1.147,1.414,1.198,1.218,1.235,1.268,1.268,1.271,1.342,1.355,1.388,1.371,1.403,1.448
540,0.35,0.507,0.542,0.991,1.147,1.224,1.202,1.222,1.24,1.273,1.274,1.277,1.352,1.361,1.394,1.371,1.403,1.458
550,0.346,0.504,0.541,1.014,1.135,1.084,1.207,1.228,1.243,1.274,1.279,1.281,1.355,1.366,1.399,1.374,1.408,1.459
560,0.342,0.508,0.541,1.013,1.125,1.085,1.211,1.231,1.249,1.277,1.283,1.287,1.364,1.372,1.403,1.373,1.41,1.466
570,0.34,0.507,0.537,1.011,1.123,1.029,1.217,1.237,1.254,1.283,1.29,1.292,1.374,1.379,1.409,1.374,1.41,1.469
