time,PC1.1,PC1.2,PC1.3,PC2.1,PC2.2,PC3.1,PC3.2,PC4.1,PC4.2,E0.1.1,E0.1.2,E0.1.3,E0.2.1,E0.2.2,E0.3.1,E0.3.2,E0.4.1,E0.4.2,E2.1.1,E2.1.2,E2.1.3,E2.2.1,E2.2.2,E2.3.1,E2.3.2,E2.4.1,E2.4.2,E4.1.1,E4.1.2,E4.1.3,E4.2.1,E4.2.2,E4.3.1,E4.3.2,E4.4.1,E4.4.2
0,0.078,0.065,0.063,0.055,0.059,0.029,0.027,0.023,0.022,0.065,0.068,0.058,0.053,0.045,0.048,0.057,0.026,0.021,0.03,0.041,0.027,0.04,0.031,0.046,0.049,0.023,0.022,0.038,0.027,0.031,0.03,0.029,0.025,0.024,0.025,0.023
10,0.039,0.037,0.033,0.04,0.037,0.035,0.033,0.029,0.027,0.035,0.036,0.031,0.038,0.035,0.035,0.03,0.031,0.027,0.034,0.033,0.032,0.039,0.038,0.034,0.033,0.027,0.027,0.034,0.032,0.036,0.034,0.034,0.03,0.028,0.027,0.027
20,0.046,0.044,0.041,0.046,0.043,0.04,0.038,0.034,0.033,0.043,0.043,0.039,0.044,0.042,0.039,0.036,0.037,0.031,0.041,0.041,0.04,0.044,0.044,0.04,0.038,0.033,0.032,0.039,0.037,0.041,0.037,0.038,0.033,0.031,0.031,0.03
30,0.053,0.052,0.048,0.054,0.051,0.046,0.043,0.039,0.037,0.05,0.049,0.045,0.052,0.049,0.045,0.041,0.041,0.035,0.048,0.048,0.046,0.051,0.051,0.044,0.043,0.037,0.036,0.044,0.042,0.047,0.042,0.042,0.035,0.034,0.034,0.032
40,0.063,0.061,0.058,0.064,0.063,0.054,0.052,0.047,0.046,0.059,0.058,0.054,0.062,0.059,0.053,0.049,0.049,0.044,0.055,0.056,0.053,0.06,0.06,0.051,0.05,0.043,0.043,0.051,0.05,0.054,0.049,0.048,0.04,0.039,0.038,0.038
50,0.076,0.074,0.07,0.079,0.077,0.067,0.064,0.057,0.056,0.071,0.07,0.066,0.076,0.073,0.065,0.061,0.058,0.052,0.067,0.067,0.064,0.073,0.073,0.062,0.06,0.051,0.051,0.061,0.059,0.063,0.057,0.058,0.048,0.046,0.044,0.043
60,0.09,0.087,0.083,0.094,0.092,0.08,0.078,0.066,0.065,0.084,0.083,0.08,0.093,0.09,0.079,0.074,0.068,0.062,0.079,0.08,0.076,0.088,0.088,0.076,0.074,0.06,0.061,0.07,0.069,0.074,0.069,0.069,0.057,0.055,0.05,0.049
70,0.106,0.104,0.099,0.114,0.111,0.1,0.094,0.081,0.079,0.102,0.1,0.096,0.113,0.11,0.097,0.091,0.082,0.077,0.094,0.095,0.092,0.106,0.106,0.091,0.09,0.073,0.07,0.083,0.081,0.085,0.083,0.083,0.069,0.066,0.058,0.057
80,0.124,0.124,0.119,0.134,0.131,0.115,0.113,0.096,0.096,0.122,0.12,0.117,0.134,0.13,0.117,0.111,0.099,0.093,0.113,0.114,0.11,0.126,0.125,0.11,0.109,0.087,0.086,0.098,0.097,0.1,0.098,0.098,0.083,0.08,0.067,0.068
90,0.145,0.145,0.138,0.154,0.15,0.136,0.134,0.114,0.114,0.143,0.14,0.137,0.158,0.153,0.136,0.129,0.117,0.111,0.133,0.134,0.127,0.149,0.147,0.127,0.125,0.102,0.101,0.113,0.111,0.114,0.115,0.111,0.096,0.092,0.079,0.078
