time,PC1.1,PC1.2,PC1.3,PC2.1,PC2.2,PC3.1,PC3.2,PC4.1,PC4.2,E0.1.1,E0.1.2,E0.1.3,E0.2.1,E0.2.2,E0.3.1,E0.3.2,E0.4.1,E0.4.2,E2.1.1,E2.1.2,E2.1.3,E2.2.1,E2.2.2,E2.3.1,E2.3.2,E2.4.1,E2.4.2,E4.1.1,E4.1.2,E4.1.3,E4.2.1,E4.2.2,E4.3.1,E4.3.2,E4.4.1,E4.4.2
0,0.061,0.061,0.063,0.027,0.068,0.036,0.025,0.013,0.017,0.056,0.054,0.053,0.024,0.047,0.048,0.042,0.012,0.013,0.028,0.021,0.032,0.023,0.026,0.032,0.019,0.013,0.016,0.025,0.019,0.018,0.024,0.025,0.02,0.02,0.012,0.013
10,0.026,0.026,0.026,0.033,0.033,0.028,0.028,0.016,0.019,0.024,0.025,0.024,0.03,0.031,0.024,0.027,0.014,0.016,0.023,0.025,0.021,0.03,0.031,0.026,0.025,0.014,0.018,0.028,0.023,0.022,0.028,0.03,0.025,0.025,0.013,0.014
20,0.032,0.033,0.033,0.042,0.043,0.034,0.036,0.021,0.025,0.031,0.031,0.031,0.04,0.04,0.032,0.034,0.019,0.02,0.03,0.031,0.028,0.039,0.041,0.033,0.032,0.019,0.023,0.034,0.028,0.027,0.034,0.037,0.029,0.03,0.016,0.017
30,0.042,0.043,0.042,0.055,0.055,0.044,0.044,0.027,0.03,0.04,0.04,0.04,0.052,0.052,0.041,0.043,0.023,0.025,0.04,0.04,0.036,0.051,0.053,0.042,0.04,0.023,0.027,0.04,0.035,0.034,0.044,0.047,0.036,0.037,0.018,0.019
40,0.055,0.055,0.053,0.072,0.072,0.058,0.057,0.035,0.038,0.052,0.053,0.052,0.069,0.069,0.054,0.056,0.031,0.033,0.051,0.051,0.047,0.066,0.069,0.053,0.053,0.031,0.034,0.051,0.045,0.044,0.057,0.06,0.046,0.048,0.023,0.025
50,0.074,0.073,0.07,0.09,0.092,0.075,0.073,0.043,0.046,0.069,0.069,0.068,0.089,0.089,0.071,0.072,0.039,0.041,0.067,0.066,0.063,0.085,0.087,0.068,0.068,0.038,0.043,0.065,0.059,0.058,0.072,0.077,0.059,0.061,0.028,0.03
60,0.093,0.094,0.091,0.116,0.115,0.095,0.093,0.051,0.055,0.087,0.088,0.086,0.112,0.112,0.091,0.092,0.047,0.049,0.083,0.083,0.079,0.105,0.108,0.085,0.085,0.046,0.05,0.08,0.074,0.072,0.091,0.095,0.075,0.075,0.032,0.036
70,0.116,0.119,0.116,0.136,0.137,0.118,0.114,0.062,0.066,0.112,0.111,0.109,0.139,0.139,0.115,0.116,0.058,0.06,0.104,0.104,0.1,0.125,0.129,0.105,0.106,0.056,0.06,0.098,0.093,0.091,0.107,0.113,0.093,0.092,0.039,0.043
80,0.145,0.147,0.143,0.163,0.163,0.144,0.141,0.077,0.081,0.139,0.139,0.138,0.162,0.163,0.14,0.142,0.073,0.074,0.129,0.131,0.126,0.143,0.147,0.127,0.128,0.068,0.073,0.121,0.116,0.115,0.113,0.119,0.107,0.107,0.046,0.051
90,0.171,0.173,0.168,0.188,0.185,0.167,0.164,0.094,0.097,0.166,0.165,0.164,0.19,0.189,0.163,0.166,0.088,0.09,0.15,0.149,0.144,0.16,0.166,0.144,0.144,0.082,0.086,0.135,0.131,0.129,0.124,0.129,0.115,0.117,0.054,0.06
