time,WT1.1,WT1.2,WT1.3,WT2.1,WT2.2,WT3.1,WT3.2,WTBrkA1.1,WTBrkA1.2,WTBrkA1.3,WTBrkA2.1,WTBrkA2.2,WTBrkA3.1,WTBrkA3.2,Oliver1.1,Oliver1.2,Oliver2.1,Oliver2.2,OliverBrkA1.1,OliverBrkA1.2,OliverBrkA2.1,OliverBrkA2.2,Tropini1.1,Tropini1.2,Tropini1.3,Tropini2.1,Tropini2.2,Tropini3.1,Tropini3.2,TropiniBrkA1.1,TropiniBrkA1.2,TropiniBrkA1.3,TropiniBrkA2.1,TropiniBrkA2.2,TropiniBrkA3.1,TropiniBrkA3.2
0,0.031,0.067,0.071,0.037,0.032,0.06,0.031,0.061,0.061,0.063,0.027,0.068,0.036,0.025,0.055,0.057,0.064,0.052,0.069,0.031,0.015,0.015,0.078,0.065,0.063,0.055,0.059,0.029,0.027,0.065,0.054,0.019,0.025,0.025,0.02,0.039
10,0.038,0.043,0.043,0.045,0.039,0.043,0.04,0.026,0.026,0.026,0.033,0.033,0.028,0.028,0.038,0.036,0.037,0.033,0.032,0.029,0.018,0.018,0.039,0.037,0.033,0.04,0.037,0.035,0.033,0.024,0.024,0.023,0.032,0.031,0.026,0.152
20,0.05,0.054,0.054,0.058,0.051,0.056,0.051,0.032,0.033,0.033,0.042,0.043,0.034,0.036,0.05,0.046,0.048,0.042,0.04,0.038,0.023,0.023,0.046,0.044,0.041,0.046,0.043,0.04,0.038,0.029,0.03,0.029,0.038,0.036,0.031,0.334
30,0.065,0.07,0.07,0.076,0.066,0.072,0.064,0.042,0.043,0.042,0.055,0.055,0.044,0.044,0.06,0.061,0.06,0.055,0.052,0.048,0.028,0.028,0.053,0.052,0.048,0.054,0.051,0.046,0.043,0.034,0.035,0.034,0.045,0.042,0.034,0.163
40,0.086,0.09,0.091,0.096,0.087,0.095,0.087,0.055,0.055,0.053,0.072,0.072,0.058,0.057,0.082,0.076,0.081,0.072,0.066,0.061,0.037,0.035,0.063,0.061,0.058,0.064,0.063,0.054,0.052,0.041,0.042,0.041,0.053,0.05,0.042,0.466
50,0.11,0.119,0.116,0.124,0.113,0.12,0.111,0.074,0.073,0.07,0.09,0.092,0.075,0.073,0.102,0.097,0.095,0.098,0.085,0.08,0.045,0.044,0.076,0.074,0.07,0.079,0.077,0.067,0.064,0.051,0.051,0.051,0.065,0.062,0.049,0.351
60,0.135,0.142,0.144,0.145,0.138,0.14,0.133,0.093,0.094,0.091,0.116,0.115,0.095,0.093,0.128,0.122,0.12,0.114,0.106,0.102,0.058,0.056,0.09,0.087,0.083,0.094,0.092,0.08,0.078,0.062,0.062,0.063,0.08,0.077,0.06,0.453
70,0.16,0.17,0.172,0.172,0.163,0.165,0.161,0.116,0.119,0.116,0.136,0.137,0.118,0.114,0.158,0.148,0.142,0.138,0.129,0.123,0.073,0.071,0.106,0.104,0.099,0.114,0.111,0.1,0.094,0.076,0.077,0.077,0.096,0.093,0.075,0.462
80,0.192,0.201,0.203,0.198,0.191,0.196,0.187,0.145,0.147,0.143,0.163,0.163,0.144,0.141,0.187,0.177,0.163,0.161,0.149,0.142,0.091,0.09,0.124,0.124,0.119,0.134,0.131,0.115,0.113,0.093,0.094,0.094,0.113,0.111,0.092,0.469
90,0.216,0.226,0.229,0.224,0.213,0.219,0.213,0.171,0.173,0.168,0.188,0.185,0.167,0.164,0.212,0.201,0.19,0.188,0.173,0.166,0.104,0.103,0.145,0.145,0.138,0.154,0.15,0.136,0.134,0.11,0.112,0.112,0.132,0.131,0.104,0.476
