time,PC1.1,PC1.2,PC2.1,PC2.2,PC3.1,PC3.2,E0.1.1,E0.1.2,E0.2.1,E0.2.2,E0.3.1,E0.3.2,E2.1.1,E2.1.2,E2.2.1,E2.2.2,E2.3.1,E2.3.2,E4.1.1,E4.1.2,E4.2.1,E4.2.2,E4.3.1,E4.3.2
0,0.055,0.057,0.064,0.052,0.023,0.02,0.07,0.063,0.064,0.065,0.021,0.027,0.036,0.033,0.066,0.04,0.019,0.021,0.038,0.038,0.023,0.027,0.021,0.02
10,0.038,0.036,0.037,0.033,0.027,0.025,0.042,0.036,0.036,0.033,0.027,0.032,0.037,0.036,0.036,0.039,0.024,0.025,0.045,0.034,0.031,0.033,0.024,0.024
20,0.05,0.046,0.048,0.042,0.035,0.032,0.053,0.048,0.046,0.042,0.036,0.041,0.048,0.046,0.043,0.046,0.032,0.033,0.054,0.043,0.039,0.039,0.031,0.03
30,0.06,0.061,0.06,0.055,0.044,0.041,0.066,0.059,0.059,0.057,0.044,0.049,0.061,0.057,0.054,0.053,0.04,0.043,0.066,0.053,0.049,0.048,0.037,0.037
40,0.082,0.076,0.081,0.072,0.06,0.057,0.085,0.076,0.075,0.077,0.059,0.063,0.077,0.075,0.069,0.072,0.053,0.055,0.082,0.071,0.059,0.061,0.048,0.047
50,0.102,0.097,0.095,0.098,0.075,0.08,0.112,0.105,0.088,0.091,0.075,0.077,0.1,0.099,0.079,0.083,0.067,0.067,0.1,0.095,0.078,0.077,0.061,0.059
60,0.128,0.122,0.12,0.114,0.092,0.087,0.137,0.133,0.113,0.113,0.093,0.095,0.127,0.124,0.102,0.102,0.081,0.081,0.122,0.119,0.095,0.093,0.072,0.073
70,0.158,0.148,0.142,0.138,0.113,0.11,0.164,0.161,0.135,0.135,0.11,0.115,0.148,0.147,0.124,0.125,0.099,0.098,0.144,0.133,0.113,0.116,0.086,0.086
80,0.187,0.177,0.163,0.161,0.136,0.132,0.193,0.194,0.161,0.161,0.134,0.137,0.17,0.169,0.145,0.147,0.114,0.115,0.161,0.151,0.127,0.129,0.097,0.101
90,0.212,0.201,0.19,0.188,0.159,0.155,0.22,0.223,0.178,0.181,0.158,0.156,0.187,0.188,0.159,0.164,0.133,0.135,0.182,0.168,0.145,0.149,0.111,0.115
100,0.239,0.223,0.208,0.212,0.183,0.176,0.242,0.248,0.201,0.204,0.177,0.18,0.205,0.202,0.178,0.181,0.15,0.15,0.195,0.181,0.16,0.166,0.124,0.127
110,0.27,0.251,0.233,0.235,0.209,0.196,0.265,0.275,0.222,0.225,0.202,0.203,0.223,0.222,0.197,0.2,0.165,0.17,0.212,0.198,0.18,0.184,0.138,0.143
120,0.297,0.281,0.257,0.258,0.237,0.229,0.291,0.303,0.246,0.249,0.224,0.226,0.247,0.243,0.216,0.217,0.186,0.189,0.234,0.221,0.197,0.203,0.15,0.156
130,0.326,0.308,0.28,0.289,0.261,0.256,0.315,0.328,0.269,0.272,0.247,0.25,0.269,0.269,0.237,0.239,0.206,0.212,0.255,0.242,0.217,0.222,0.163,0.172
140,0.346,0.336,0.311,0.311,0.286,0.279,0.332,0.347,0.287,0.291,0.272,0.276,0.289,0.293,0.257,0.26,0.228,0.237,0.274,0.262,0.236,0.241,0.18,0.194
150,0.363,0.344,0.334,0.34,0.319,0.313,0.353,0.36,0.308,0.311,0.297,0.3,0.31,0.313,0.278,0.281,0.25,0.261,0.296,0.281,0.257,0.262,0.198,0.211
