time,PC1.1,PC1.2,PC2.1,PC2.2,PC3.1,PC3.2,E0.1.1,E0.1.2,E0.2.1,E0.2.2,E0.3.1,E0.3.2,E2.1.1,E2.1.2,E2.2.1,E2.2.2,E2.3.1,E2.3.2,E4.1.1,E4.1.2,E4.2.1,E4.2.2,E4.3.1,E4.3.2
0,0.069,0.031,0.015,0.015,0.017,0.017,0.053,0.023,0.014,0.022,0.014,0.014,0.033,0.039,0.013,0.012,0.015,0.013,0.021,0.021,0.012,0.012,0.017,0.013
10,0.032,0.029,0.018,0.018,0.02,0.02,0.027,0.028,0.018,0.016,0.017,0.018,0.026,0.026,0.017,0.016,0.018,0.016,0.025,0.026,0.015,0.014,0.022,0.015
20,0.04,0.038,0.023,0.023,0.026,0.026,0.036,0.037,0.023,0.02,0.023,0.023,0.034,0.034,0.021,0.019,0.023,0.021,0.032,0.032,0.018,0.017,0.026,0.019
30,0.052,0.048,0.028,0.028,0.033,0.032,0.047,0.047,0.027,0.024,0.029,0.029,0.045,0.045,0.026,0.024,0.028,0.027,0.041,0.041,0.021,0.02,0.028,0.023
40,0.066,0.061,0.037,0.035,0.042,0.041,0.062,0.06,0.036,0.032,0.038,0.038,0.059,0.059,0.032,0.03,0.038,0.035,0.053,0.052,0.027,0.026,0.036,0.03
50,0.085,0.08,0.045,0.044,0.052,0.051,0.081,0.079,0.045,0.04,0.049,0.048,0.076,0.076,0.041,0.038,0.048,0.045,0.068,0.067,0.033,0.032,0.044,0.038
60,0.106,0.102,0.058,0.056,0.064,0.062,0.103,0.1,0.057,0.052,0.06,0.059,0.096,0.094,0.052,0.049,0.058,0.055,0.086,0.084,0.043,0.041,0.053,0.046
70,0.129,0.123,0.073,0.071,0.078,0.076,0.124,0.122,0.071,0.065,0.075,0.074,0.114,0.113,0.065,0.06,0.071,0.068,0.104,0.103,0.054,0.051,0.065,0.057
80,0.149,0.142,0.091,0.09,0.098,0.095,0.145,0.142,0.09,0.083,0.092,0.091,0.129,0.127,0.08,0.075,0.087,0.083,0.114,0.112,0.066,0.064,0.078,0.071
90,0.173,0.166,0.104,0.103,0.114,0.114,0.171,0.167,0.103,0.098,0.11,0.107,0.151,0.151,0.095,0.092,0.103,0.1,0.133,0.131,0.08,0.077,0.093,0.086
100,0.195,0.189,0.121,0.119,0.13,0.127,0.194,0.192,0.118,0.112,0.125,0.123,0.171,0.171,0.103,0.098,0.112,0.11,0.154,0.153,0.091,0.088,0.105,0.098
110,0.214,0.208,0.142,0.14,0.151,0.15,0.212,0.211,0.14,0.133,0.146,0.145,0.187,0.186,0.118,0.113,0.128,0.124,0.172,0.171,0.098,0.096,0.114,0.107
120,0.235,0.228,0.166,0.165,0.173,0.172,0.234,0.231,0.163,0.156,0.168,0.168,0.204,0.202,0.137,0.132,0.147,0.142,0.188,0.185,0.11,0.109,0.129,0.122
130,0.257,0.248,0.188,0.186,0.193,0.193,0.256,0.253,0.186,0.179,0.19,0.191,0.223,0.221,0.155,0.15,0.165,0.161,0.208,0.206,0.127,0.124,0.147,0.142
140,0.285,0.274,0.203,0.205,0.211,0.212,0.283,0.279,0.204,0.197,0.207,0.209,0.25,0.246,0.17,0.167,0.18,0.177,0.234,0.229,0.143,0.141,0.163,0.157
150,0.31,0.299,0.219,0.221,0.229,0.229,0.307,0.304,0.221,0.214,0.225,0.223,0.27,0.267,0.188,0.184,0.194,0.191,0.254,0.247,0.159,0.157,0.177,0.168
160,0.334,0.323,0.235,0.236,0.245,0.245,0.33,0.325,0.235,0.227,0.242,0.241,0.292,0.287,0.199,0.195,0.208,0.204,0.276,0.266,0.171,0.168,0.189,0.183
170,0.358,0.346,0.254,0.253,0.264,0.265,0.351,0.348,0.257,0.248,0.262,0.261,0.313,0.307,0.217,0.212,0.225,0.222,0.298,0.286,0.186,0.183,0.21,0.204
180,0.377,0.368,0.272,0.271,0.286,0.286,0.371,0.366,0.279,0.27,0.285,0.284,0.335,0.331,0.236,0.231,0.247,0.243,0.324,0.307,0.196,0.194,0.221,0.215
190,0.392,0.38,0.292,0.294,0.305,0.306,0.387,0.383,0.296,0.288,0.304,0.303,0.359,0.353,0.248,0.246,0.26,0.258,0.346,0.329,0.207,0.204,0.233,0.226
200,0.405,0.392,0.308,0.308,0.324,0.325,0.402,0.397,0.311,0.303,0.323,0.323,0.381,0.374,0.258,0.257,0.277,0.273,0.365,0.349,0.217,0.216,0.249,0.242
210,0.422,0.406,0.327,0.33,0.341,0.343,0.417,0.408,0.33,0.322,0.341,0.339,0.398,0.39,0.274,0.272,0.294,0.291,0.383,0.369,0.23,0.229,0.265,0.258
220,0.431,0.417,0.341,0.346,0.357,0.36,0.43,0.423,0.345,0.337,0.356,0.356,0.414,0.405,0.289,0.285,0.307,0.305,0.402,0.385,0.244,0.241,0.282,0.275
230,0.444,0.429,0.355,0.36,0.372,0.375,0.444,0.436,0.359,0.354,0.373,0.374,0.429,0.418,0.304,0.304,0.327,0.325,0.415,0.397,0.257,0.255,0.298,0.29
240,0.461,0.442,0.371,0.375,0.384,0.388,0.457,0.449,0.372,0.364,0.385,0.385,0.444,0.433,0.319,0.317,0.342,0.34,0.428,0.411,0.267,0.267,0.314,0.306
250,0.47,0.455,0.381,0.388,0.393,0.399,0.471,0.462,0.388,0.38,0.398,0.398,0.459,0.446,0.334,0.331,0.36,0.36,0.441,0.424,0.281,0.279,0.328,0.321
260,0.483,0.468,0.393,0.397,0.407,0.414,0.484,0.474,0.396,0.39,0.413,0.413,0.477,0.46,0.347,0.346,0.377,0.377,0.454,0.437,0.294,0.293,0.343,0.336
270,0.497,0.48,0.405,0.411,0.417,0.423,0.497,0.487,0.407,0.399,0.424,0.423,0.493,0.473,0.361,0.358,0.386,0.387,0.475,0.451,0.306,0.304,0.354,0.348
280,0.51,0.493,0.412,0.418,0.43,0.436,0.511,0.5,0.414,0.407,0.437,0.434,0.51,0.487,0.37,0.367,0.397,0.397,0.481,0.465,0.313,0.313,0.362,0.358
290,0.524,0.505,0.426,0.431,0.445,0.449,0.525,0.512,0.426,0.42,0.447,0.449,0.526,0.5,0.383,0.381,0.411,0.411,0.494,0.478,0.328,0.325,0.375,0.369
300,0.536,0.516,0.439,0.445,0.456,0.462,0.537,0.524,0.437,0.429,0.459,0.46,0.543,0.513,0.394,0.392,0.42,0.419,0.505,0.489,0.338,0.337,0.385,0.379
310,0.552,0.532,0.448,0.452,0.467,0.474,0.548,0.533,0.446,0.439,0.475,0.473,0.559,0.526,0.402,0.399,0.433,0.431,0.515,0.5,0.35,0.348,0.398,0.393
320,0.565,0.541,0.46,0.468,0.483,0.488,0.562,0.545,0.458,0.448,0.486,0.487,0.575,0.538,0.413,0.408,0.443,0.443,0.522,0.514,0.36,0.357,0.408,0.418
330,0.579,0.555,0.469,0.471,0.493,0.498,0.575,0.556,0.466,0.458,0.502,0.502,0.59,0.552,0.421,0.417,0.458,0.457,0.529,0.525,0.37,0.369,0.421,0.414
340,0.591,0.565,0.478,0.484,0.505,0.51,0.589,0.565,0.471,0.461,0.512,0.51,0.602,0.563,0.428,0.426,0.469,0.469,0.536,0.533,0.383,0.377,0.433,0.43
350,0.603,0.572,0.484,0.491,0.518,0.525,0.602,0.577,0.48,0.473,0.525,0.523,0.609,0.575,0.438,0.432,0.482,0.481,0.538,0.538,0.393,0.388,0.443,0.437
360,0.619,0.583,0.494,0.497,0.528,0.535,0.614,0.587,0.491,0.48,0.535,0.533,0.616,0.586,0.446,0.438,0.493,0.495,0.535,0.542,0.405,0.395,0.455,0.449
370,0.63,0.59,0.502,0.508,0.536,0.543,0.626,0.598,0.501,0.492,0.543,0.544,0.627,0.598,0.453,0.447,0.503,0.502,0.535,0.544,0.411,0.405,0.464,0.457
380,0.646,0.601,0.511,0.515,0.547,0.554,0.637,0.61,0.512,0.5,0.556,0.557,0.632,0.608,0.46,0.453,0.513,0.513,0.543,0.547,0.424,0.41,0.469,0.471
390,0.657,0.607,0.517,0.522,0.558,0.563,0.647,0.617,0.52,0.509,0.566,0.564,0.638,0.62,0.469,0.458,0.525,0.523,0.538,0.553,0.429,0.418,0.496,0.476
400,0.666,0.618,0.529,0.534,0.565,0.572,0.658,0.625,0.527,0.517,0.576,0.57,0.643,0.627,0.478,0.468,0.535,0.535,0.538,0.556,0.44,0.427,0.498,0.48
410,0.677,0.625,0.537,0.541,0.572,0.579,0.669,0.639,0.538,0.526,0.583,0.582,0.655,0.642,0.485,0.476,0.541,0.541,0.536,0.562,0.446,0.435,0.483,0.491
420,0.69,0.637,0.546,0.547,0.58,0.586,0.677,0.651,0.546,0.534,0.592,0.588,0.659,0.65,0.495,0.485,0.55,0.547,0.536,0.567,0.454,0.442,0.491,0.487
430,0.695,0.641,0.557,0.558,0.591,0.596,0.683,0.659,0.556,0.543,0.602,0.599,0.665,0.659,0.508,0.497,0.56,0.557,0.537,0.574,0.465,0.45,0.489,0.496
440,0.706,0.649,0.563,0.568,0.599,0.606,0.694,0.669,0.565,0.551,0.609,0.606,0.671,0.67,0.519,0.507,0.567,0.565,0.54,0.579,0.474,0.456,0.491,0.505
450,0.711,0.654,0.567,0.572,0.605,0.613,0.7,0.676,0.571,0.557,0.619,0.615,0.678,0.678,0.528,0.521,0.573,0.575,0.544,0.583,0.487,0.47,0.508,0.509
460,0.723,0.66,0.572,0.579,0.612,0.619,0.707,0.684,0.58,0.567,0.625,0.62,0.683,0.685,0.546,0.536,0.581,0.579,0.546,0.591,0.5,0.485,0.508,0.532
470,0.734,0.669,0.576,0.582,0.621,0.628,0.711,0.694,0.583,0.569,0.632,0.628,0.684,0.692,0.554,0.543,0.589,0.587,0.55,0.598,0.506,0.494,0.5,0.514
480,0.739,0.673,0.58,0.59,0.626,0.633,0.721,0.702,0.59,0.575,0.637,0.632,0.694,0.704,0.559,0.55,0.593,0.591,0.552,0.599,0.514,0.5,0.514,0.505
490,0.748,0.68,0.583,0.593,0.632,0.641,0.728,0.71,0.597,0.581,0.644,0.64,0.7,0.711,0.569,0.56,0.601,0.6,0.554,0.604,0.521,0.509,0.519,0.499
500,0.755,0.684,0.587,0.596,0.638,0.647,0.734,0.718,0.602,0.585,0.648,0.643,0.707,0.72,0.577,0.569,0.608,0.605,0.554,0.61,0.526,0.517,0.52,0.523
510,0.764,0.693,0.591,0.601,0.646,0.653,0.739,0.725,0.61,0.592,0.654,0.647,0.71,0.726,0.59,0.579,0.614,0.609,0.556,0.617,0.536,0.523,0.522,0.522
520,0.771,0.698,0.593,0.602,0.653,0.663,0.745,0.734,0.615,0.596,0.657,0.653,0.718,0.733,0.599,0.585,0.618,0.617,0.56,0.621,0.543,0.53,0.52,0.528
530,0.778,0.704,0.596,0.605,0.659,0.668,0.75,0.74,0.623,0.602,0.665,0.66,0.724,0.738,0.606,0.595,0.623,0.622,0.621,0.627,0.547,0.538,0.577,0.535
540,0.785,0.709,0.596,0.606,0.664,0.671,0.752,0.748,0.629,0.605,0.672,0.665,0.724,0.744,0.615,0.602,0.628,0.627,0.573,0.636,0.552,0.547,0.538,0.518
550,0.794,0.716,0.602,0.611,0.672,0.68,0.762,0.757,0.634,0.61,0.675,0.669,0.734,0.753,0.626,0.614,0.633,0.634,0.577,0.637,0.563,0.557,0.545,0.537
