time,PC1.1,PC1.2,PC1.3,PC2.1,PC2.2,PC3.1,PC3.2,E0.1.1,E0.1.2,E0.1.3,E0.2.1,E0.2.2,E0.3.1,E0.3.2,E2.1.1,E2.1.2,E2.1.3,E2.2.1,E2.2.2,E2.3.1,E2.3.2,E4.1.1,E4.1.2,E4.1.3,E4.2.1,E4.2.2,E4.3.1,E4.3.2
0,0.065,0.054,0.019,0.025,0.025,0.018,0.017,0.053,0.05,0.017,0.024,0.024,0.015,0.016,0.017,0.017,0.016,0.026,0.024,0.017,0.024,0.019,0.016,0.016,0.024,0.026,0.015,0.017
10,0.024,0.024,0.023,0.032,0.031,0.022,0.02,0.021,0.022,0.021,0.03,0.031,0.019,0.02,0.021,0.02,0.019,0.031,0.03,0.02,0.03,0.022,0.019,0.018,0.028,0.031,0.017,0.019
20,0.029,0.03,0.029,0.038,0.036,0.028,0.025,0.027,0.027,0.025,0.036,0.036,0.024,0.025,0.025,0.025,0.024,0.037,0.034,0.025,0.036,0.025,0.022,0.021,0.031,0.033,0.021,0.022
30,0.034,0.035,0.034,0.045,0.042,0.031,0.029,0.031,0.031,0.03,0.041,0.041,0.027,0.028,0.03,0.03,0.028,0.043,0.039,0.03,0.041,0.029,0.026,0.024,0.034,0.037,0.022,0.024
40,0.041,0.042,0.041,0.053,0.05,0.038,0.036,0.036,0.036,0.034,0.05,0.05,0.033,0.035,0.034,0.034,0.033,0.05,0.047,0.034,0.05,0.033,0.03,0.029,0.04,0.041,0.027,0.028
50,0.051,0.051,0.051,0.065,0.062,0.045,0.043,0.042,0.043,0.04,0.061,0.064,0.041,0.043,0.041,0.042,0.04,0.061,0.058,0.042,0.061,0.04,0.037,0.036,0.046,0.048,0.031,0.033
60,0.062,0.062,0.063,0.08,0.077,0.054,0.051,0.052,0.05,0.049,0.076,0.079,0.049,0.051,0.05,0.05,0.048,0.074,0.072,0.05,0.076,0.047,0.045,0.043,0.057,0.058,0.035,0.037
70,0.076,0.077,0.077,0.096,0.093,0.065,0.062,0.066,0.066,0.06,0.099,0.098,0.061,0.063,0.062,0.061,0.06,0.094,0.091,0.061,0.099,0.057,0.054,0.053,0.071,0.072,0.042,0.044
80,0.093,0.094,0.094,0.113,0.111,0.079,0.076,0.078,0.072,0.078,0.107,0.118,0.075,0.077,0.077,0.079,0.073,0.109,0.101,0.079,0.107,0.07,0.067,0.067,0.085,0.085,0.05,0.053
90,0.11,0.112,0.112,0.132,0.131,0.093,0.089,0.096,0.107,0.082,0.124,0.131,0.088,0.091,0.086,0.089,0.087,0.123,0.113,0.089,0.124,0.078,0.076,0.078,0.1,0.096,0.059,0.062
