time,PC1.1,PC1.2,PC1.3,PC2.1,PC2.2,PC3.1,PC3.2,PC4.1,PC4.2,E0.1.1,E0.1.2,E0.1.3,E0.2.1,E0.2.2,E0.3.1,E0.3.2,E0.4.1,E0.4.2,E2.1.1,E2.1.2,E2.1.3,E2.2.1,E2.2.2,E2.3.1,E2.3.2,E2.4.1,E2.4.2,E4.1.1,E4.1.2,E4.1.3,E4.2.1,E4.2.2,E4.3.1,E4.3.2,E4.4.1,E4.4.2
0,0.031,0.067,0.071,0.037,0.032,0.06,0.031,0.029,0.024,0.03,0.067,0.072,0.033,0.031,0.032,0.032,0.025,0.024,0.027,0.047,0.031,0.031,0.032,0.032,0.031,0.025,0.025,0.028,0.03,0.03,0.031,0.031,0.03,0.03,0.024,0.025
10,0.038,0.043,0.043,0.045,0.039,0.043,0.04,0.037,0.031,0.037,0.037,0.04,0.042,0.04,0.042,0.04,0.033,0.032,0.033,0.036,0.036,0.04,0.039,0.041,0.039,0.032,0.033,0.035,0.036,0.038,0.039,0.039,0.039,0.039,0.029,0.031
20,0.05,0.054,0.054,0.058,0.051,0.056,0.051,0.05,0.044,0.048,0.049,0.052,0.054,0.05,0.054,0.051,0.046,0.044,0.043,0.047,0.047,0.052,0.052,0.054,0.051,0.044,0.046,0.044,0.046,0.047,0.049,0.048,0.05,0.047,0.039,0.041
30,0.065,0.07,0.07,0.076,0.066,0.072,0.064,0.064,0.056,0.063,0.063,0.066,0.071,0.066,0.07,0.066,0.06,0.058,0.058,0.062,0.062,0.067,0.066,0.066,0.064,0.057,0.059,0.056,0.058,0.06,0.062,0.061,0.06,0.06,0.051,0.053
40,0.086,0.09,0.091,0.096,0.087,0.095,0.087,0.085,0.076,0.081,0.083,0.086,0.093,0.086,0.092,0.088,0.082,0.08,0.076,0.079,0.079,0.088,0.086,0.084,0.082,0.077,0.078,0.072,0.074,0.075,0.081,0.079,0.078,0.077,0.068,0.07
50,0.11,0.119,0.116,0.124,0.113,0.12,0.111,0.107,0.1,0.108,0.109,0.114,0.119,0.112,0.119,0.112,0.105,0.104,0.098,0.1,0.101,0.113,0.109,0.106,0.105,0.097,0.099,0.093,0.094,0.096,0.102,0.1,0.099,0.098,0.087,0.09
60,0.135,0.142,0.144,0.145,0.138,0.14,0.133,0.127,0.122,0.134,0.139,0.145,0.145,0.14,0.146,0.138,0.129,0.129,0.124,0.124,0.125,0.135,0.133,0.129,0.129,0.118,0.121,0.116,0.116,0.121,0.124,0.122,0.12,0.12,0.106,0.109
70,0.16,0.17,0.172,0.172,0.163,0.165,0.161,0.151,0.142,0.163,0.17,0.175,0.174,0.169,0.174,0.167,0.156,0.154,0.147,0.149,0.149,0.159,0.156,0.152,0.149,0.139,0.14,0.137,0.137,0.139,0.141,0.138,0.136,0.136,0.121,0.124
80,0.192,0.201,0.203,0.198,0.191,0.196,0.187,0.177,0.173,0.194,0.202,0.208,0.201,0.197,0.202,0.196,0.184,0.185,0.173,0.177,0.176,0.183,0.18,0.174,0.174,0.161,0.163,0.16,0.159,0.161,0.16,0.158,0.156,0.157,0.137,0.14
90,0.216,0.226,0.229,0.224,0.213,0.219,0.213,0.2,0.195,0.22,0.23,0.238,0.225,0.222,0.227,0.219,0.21,0.21,0.195,0.198,0.196,0.201,0.2,0.193,0.193,0.18,0.184,0.178,0.178,0.18,0.176,0.175,0.171,0.174,0.153,0.157
100,0.245,0.254,0.26,0.248,0.238,0.244,0.234,0.226,0.219,0.246,0.258,0.269,0.249,0.247,0.252,0.245,0.234,0.238,0.216,0.22,0.22,0.221,0.219,0.213,0.213,0.199,0.203,0.194,0.196,0.198,0.19,0.188,0.187,0.19,0.168,0.172
110,0.273,0.282,0.289,0.275,0.268,0.273,0.262,0.257,0.247,0.273,0.287,0.301,0.276,0.274,0.281,0.273,0.265,0.267,0.237,0.244,0.246,0.242,0.24,0.238,0.236,0.223,0.225,0.213,0.216,0.218,0.205,0.203,0.206,0.208,0.183,0.191
120,0.308,0.315,0.322,0.307,0.297,0.305,0.292,0.287,0.277,0.303,0.317,0.335,0.303,0.303,0.311,0.303,0.294,0.296,0.262,0.27,0.274,0.266,0.264,0.261,0.26,0.245,0.249,0.233,0.238,0.238,0.221,0.221,0.223,0.228,0.201,0.21
130,0.333,0.342,0.354,0.324,0.32,0.328,0.313,0.308,0.302,0.328,0.344,0.367,0.322,0.325,0.333,0.326,0.317,0.324,0.285,0.294,0.303,0.288,0.286,0.281,0.281,0.265,0.269,0.252,0.258,0.259,0.234,0.235,0.24,0.246,0.219,0.228
140,0.351,0.371,0.389,0.341,0.337,0.346,0.33,0.326,0.319,0.347,0.362,0.389,0.34,0.343,0.351,0.343,0.338,0.348,0.307,0.317,0.332,0.31,0.306,0.302,0.302,0.287,0.29,0.27,0.277,0.28,0.25,0.252,0.257,0.265,0.235,0.246
150,0.374,0.388,0.409,0.359,0.354,0.366,0.347,0.343,0.336,0.367,0.38,0.405,0.357,0.36,0.37,0.362,0.358,0.369,0.327,0.341,0.358,0.326,0.32,0.32,0.321,0.307,0.31,0.288,0.298,0.3,0.264,0.268,0.275,0.284,0.253,0.263
160,0.391,0.409,0.43,0.376,0.369,0.384,0.36,0.363,0.351,0.386,0.403,0.425,0.376,0.378,0.39,0.379,0.379,0.392,0.344,0.361,0.38,0.343,0.337,0.337,0.34,0.324,0.327,0.303,0.316,0.318,0.276,0.28,0.288,0.298,0.271,0.282
170,0.416,0.436,0.455,0.394,0.389,0.41,0.379,0.384,0.37,0.408,0.424,0.442,0.395,0.398,0.413,0.401,0.402,0.414,0.363,0.382,0.397,0.361,0.353,0.369,0.361,0.344,0.346,0.318,0.331,0.334,0.289,0.294,0.305,0.316,0.286,0.297
180,0.437,0.455,0.483,0.416,0.41,0.435,0.399,0.409,0.39,0.43,0.443,0.466,0.417,0.418,0.432,0.419,0.422,0.436,0.382,0.407,0.418,0.379,0.37,0.39,0.379,0.367,0.366,0.335,0.346,0.35,0.305,0.309,0.32,0.334,0.304,0.315
190,0.466,0.476,0.502,0.437,0.429,0.464,0.422,0.433,0.409,0.455,0.468,0.487,0.437,0.438,0.453,0.44,0.445,0.457,0.404,0.43,0.434,0.399,0.389,0.411,0.402,0.386,0.386,0.351,0.363,0.367,0.323,0.326,0.338,0.352,0.323,0.333
200,0.497,0.499,0.524,0.46,0.448,0.489,0.438,0.461,0.43,0.477,0.493,0.511,0.456,0.457,0.473,0.458,0.472,0.476,0.428,0.455,0.455,0.418,0.406,0.432,0.422,0.41,0.409,0.37,0.383,0.384,0.336,0.341,0.353,0.364,0.341,0.351
210,0.529,0.518,0.539,0.481,0.466,0.509,0.459,0.484,0.447,0.499,0.516,0.533,0.475,0.474,0.491,0.484,0.495,0.496,0.452,0.478,0.476,0.44,0.424,0.454,0.443,0.431,0.429,0.388,0.401,0.402,0.352,0.358,0.372,0.384,0.358,0.369
220,0.545,0.537,0.553,0.499,0.483,0.532,0.479,0.502,0.469,0.523,0.538,0.553,0.492,0.49,0.51,0.498,0.515,0.515,0.475,0.5,0.494,0.457,0.438,0.476,0.461,0.452,0.449,0.408,0.421,0.419,0.369,0.375,0.39,0.401,0.376,0.386
230,0.565,0.558,0.573,0.516,0.501,0.548,0.496,0.522,0.49,0.546,0.559,0.572,0.511,0.511,0.531,0.515,0.538,0.534,0.493,0.519,0.509,0.475,0.45,0.494,0.478,0.472,0.468,0.429,0.439,0.434,0.383,0.387,0.402,0.415,0.391,0.401
240,0.582,0.575,0.586,0.528,0.515,0.567,0.514,0.539,0.508,0.57,0.58,0.597,0.527,0.524,0.547,0.53,0.559,0.554,0.516,0.537,0.528,0.493,0.465,0.51,0.497,0.493,0.485,0.44,0.455,0.448,0.394,0.4,0.415,0.428,0.415,0.415
250,0.6,0.594,0.604,0.546,0.533,0.588,0.534,0.557,0.53,0.59,0.6,0.615,0.541,0.539,0.563,0.544,0.577,0.572,0.535,0.554,0.547,0.506,0.476,0.524,0.511,0.512,0.505,0.456,0.466,0.458,0.409,0.41,0.43,0.44,0.421,0.429
260,0.621,0.613,0.626,0.561,0.551,0.604,0.553,0.574,0.554,0.609,0.62,0.633,0.557,0.552,0.579,0.559,0.596,0.59,0.551,0.567,0.562,0.517,0.484,0.539,0.524,0.527,0.518,0.469,0.482,0.47,0.418,0.415,0.437,0.45,0.432,0.441
270,0.638,0.629,0.643,0.581,0.569,0.627,0.575,0.594,0.576,0.628,0.634,0.649,0.574,0.566,0.595,0.574,0.612,0.608,0.567,0.579,0.573,0.53,0.493,0.549,0.539,0.54,0.534,0.482,0.492,0.48,0.442,0.423,0.446,0.458,0.441,0.453
280,0.657,0.649,0.662,0.602,0.592,0.644,0.594,0.613,0.594,0.645,0.651,0.665,0.587,0.581,0.61,0.589,0.627,0.623,0.581,0.591,0.586,0.542,0.502,0.558,0.549,0.552,0.546,0.491,0.502,0.495,0.453,0.43,0.455,0.467,0.451,0.461
290,0.68,0.67,0.686,0.62,0.612,0.668,0.62,0.633,0.616,0.658,0.664,0.677,0.6,0.592,0.624,0.603,0.637,0.638,0.591,0.6,0.596,0.552,0.513,0.568,0.562,0.563,0.559,0.499,0.508,0.501,0.465,0.438,0.465,0.478,0.457,0.467
300,0.706,0.688,0.703,0.644,0.632,0.683,0.644,0.654,0.636,0.67,0.677,0.688,0.61,0.603,0.635,0.615,0.65,0.653,0.604,0.606,0.606,0.558,0.518,0.578,0.574,0.572,0.569,0.508,0.518,0.508,0.466,0.444,0.47,0.481,0.467,0.473
310,0.728,0.706,0.726,0.666,0.649,0.701,0.661,0.675,0.66,0.682,0.687,0.697,0.63,0.613,0.647,0.628,0.664,0.666,0.612,0.612,0.613,0.569,0.525,0.586,0.582,0.583,0.58,0.514,0.524,0.514,0.47,0.449,0.482,0.487,0.474,0.483
320,0.75,0.728,0.741,0.68,0.668,0.716,0.68,0.694,0.68,0.695,0.697,0.706,0.64,0.625,0.659,0.637,0.673,0.676,0.623,0.622,0.622,0.578,0.532,0.593,0.591,0.589,0.592,0.525,0.534,0.525,0.479,0.456,0.485,0.497,0.486,0.491
330,0.764,0.744,0.757,0.695,0.68,0.732,0.697,0.71,0.695,0.704,0.704,0.711,0.649,0.634,0.669,0.648,0.685,0.687,0.629,0.628,0.628,0.586,0.54,0.6,0.598,0.595,0.601,0.531,0.54,0.528,0.483,0.463,0.491,0.501,0.49,0.498
340,0.777,0.759,0.771,0.716,0.694,0.749,0.713,0.725,0.713,0.715,0.711,0.721,0.659,0.645,0.68,0.66,0.696,0.697,0.636,0.632,0.633,0.592,0.548,0.604,0.602,0.602,0.61,0.536,0.541,0.536,0.488,0.468,0.497,0.507,0.493,0.505
350,0.79,0.771,0.783,0.727,0.71,0.765,0.73,0.74,0.732,0.723,0.719,0.731,0.669,0.655,0.688,0.671,0.705,0.708,0.644,0.639,0.641,0.601,0.555,0.613,0.615,0.608,0.619,0.543,0.547,0.543,0.494,0.474,0.502,0.513,0.499,0.51
360,0.8,0.785,0.798,0.741,0.724,0.773,0.741,0.75,0.747,0.731,0.726,0.739,0.677,0.664,0.694,0.68,0.716,0.722,0.65,0.647,0.648,0.609,0.564,0.619,0.622,0.617,0.623,0.551,0.554,0.547,0.497,0.48,0.509,0.521,0.506,0.518
370,0.812,0.8,0.81,0.752,0.737,0.79,0.758,0.768,0.76,0.74,0.735,0.748,0.685,0.669,0.707,0.692,0.724,0.729,0.656,0.654,0.651,0.612,0.572,0.628,0.632,0.624,0.632,0.554,0.557,0.552,0.504,0.485,0.518,0.529,0.508,0.526
380,0.823,0.811,0.82,0.766,0.749,0.8,0.771,0.781,0.774,0.744,0.741,0.752,0.693,0.68,0.715,0.699,0.733,0.739,0.664,0.658,0.66,0.618,0.581,0.635,0.637,0.632,0.64,0.561,0.564,0.561,0.51,0.488,0.523,0.535,0.517,0.53
390,0.832,0.823,0.834,0.776,0.76,0.814,0.785,0.792,0.787,0.752,0.747,0.761,0.703,0.69,0.723,0.708,0.739,0.748,0.669,0.666,0.668,0.629,0.601,0.639,0.649,0.638,0.648,0.568,0.571,0.567,0.512,0.496,0.53,0.543,0.521,0.539
400,0.852,0.841,0.851,0.789,0.771,0.828,0.799,0.809,0.802,0.758,0.756,0.77,0.71,0.698,0.732,0.717,0.749,0.755,0.676,0.673,0.675,0.636,0.598,0.648,0.659,0.646,0.658,0.572,0.576,0.572,0.518,0.498,0.536,0.547,0.526,0.547
410,0.862,0.855,0.867,0.802,0.785,0.838,0.809,0.819,0.81,0.764,0.765,0.777,0.718,0.708,0.742,0.726,0.755,0.765,0.683,0.677,0.682,0.642,0.607,0.653,0.666,0.649,0.666,0.576,0.581,0.581,0.522,0.504,0.544,0.553,0.528,0.55
420,0.874,0.865,0.878,0.815,0.797,0.851,0.822,0.832,0.823,0.767,0.771,0.784,0.723,0.716,0.744,0.734,0.763,0.771,0.688,0.684,0.687,0.649,0.618,0.66,0.673,0.656,0.672,0.583,0.586,0.585,0.527,0.511,0.547,0.563,0.535,0.556
430,0.884,0.876,0.888,0.828,0.805,0.867,0.83,0.844,0.833,0.77,0.777,0.791,0.731,0.723,0.749,0.744,0.769,0.777,0.695,0.689,0.695,0.658,0.63,0.668,0.68,0.661,0.68,0.591,0.593,0.59,0.531,0.515,0.554,0.568,0.543,0.566
